timestamp,DXL_PWM,DXL_Current,DXL_Velocity,θ(t),DXL_Input_Voltage,U
13.86,0.55483,0.08339,0.9832137808184854,-0.2791828671490132,11.9,6.602477
13.88,0.5864699999999999,0.048420000000000005,1.1510795482753002,-0.24846507231391285,11.9,6.978992999999999
13.9,0.56274,0.00807,1.3189453157321147,-0.21313960825354755,11.9,6.696606
13.92,0.47573,-0.048420000000000005,1.5107919071113316,-0.17781414419318228,11.9,5.661187
13.94,0.33787,-0.1076,1.678657674568146,-0.13788101090755198,11.9,4.020653
13.96,0.18080000000000002,-0.19099000000000002,1.7506001463353522,-0.11023499555596168,11.9,2.15152
13.98,0.01921,-0.25824,1.6546768506457439,-0.08873253917139186,11.9,0.22859900000000002
14.0,-0.13447,-0.31204000000000004,1.390887787499321,-0.07798131097910682,11.9,-1.6001930000000002
14.02,-0.27233,-0.29052,0.9592329568960836,-0.07798131097910682,11.9,-3.240727
14.040000000000001,-0.39437,-0.23671999999999999,0.5035973023704439,-0.08719664942963665,11.9,-4.693003
14.06,-0.49042,-0.19368000000000002,0.023980823922402087,-0.1071632160724519,11.9,-5.835998
14.08,-0.57856,-0.1883,-0.43165483060323756,-0.13173745194053196,11.9,-6.884863999999999
14.1,-0.66105,-0.19906000000000001,-0.839328837284073,-0.16245524677563225,11.9,-7.8664950000000005
14.120000000000001,-0.73111,-0.1883,-1.1990411961201044,-0.19624482109424232,11.9,-8.700209000000001
14.14,-0.78196,-0.16678,-1.4868110831889294,-0.23771384412162785,11.9,-9.305324
14.16,-0.8136,-0.15871000000000002,-1.7506001463353522,-0.2822546466325232,11.9,-9.68184
14.18,-0.83281,-0.13719,-1.9664275616369709,-0.3283313388851733,11.9,-9.910439
14.200000000000001,-0.8362,-0.11028999999999999,-2.1582741530161877,-0.3744080311378236,11.9,-9.950780000000002
14.22,-0.8282900000000001,-0.10491,-2.2781782726281983,-0.4250923926157391,11.9,-9.856651000000001
14.24,-0.81699,-0.09684000000000001,-2.3741015683178066,-0.4727049746101442,11.9,-9.722181
14.26,-0.7932600000000001,-0.08877,-2.398082392240209,-0.5218534463463046,11.9,-9.439794000000001
14.280000000000001,-0.7446699999999999,-0.08070000000000001,-2.398082392240209,-0.5679301385989549,11.9,-8.861573
14.3,-0.6893,-0.061869999999999994,-2.3501207443954044,-0.6124709411098502,11.9,-8.202670000000001
14.32,-0.62263,-0.03497,-2.2781782726281983,-0.6524040743954805,11.9,-7.4092970000000005
14.34,-0.5435300000000001,-0.024210000000000002,-2.1582741530161877,-0.6892654281976006,11.9,-6.468007000000001
14.36,-0.45765,-0.00807,-1.9904083855593735,-0.721519112774456,11.9,-5.446035
14.38,-0.36725,-0.00269,-1.7985617941801566,-0.7476292383842913,11.9,-4.370275
14.4,-0.28363,-0.0269,-1.4628302592665272,-0.7783470332193912,11.9,-3.375197
14.42,-0.19775,-0.0269,-1.2230220200425064,-0.7937059306369415,11.9,-2.353225
14.44,-0.11074,-0.01345,-0.9592329568960836,-0.8013853793457163,11.9,-1.317806
14.46,-0.04407,-0.01614,-0.6954438937496605,-0.8059930485709813,11.9,-0.524433
