timestamp,DXL_PWM,DXL_Current,ω(t),θ(t),DXL_Input_Voltage,U
115.38,0.013560000000000001,0.040350000000000004,-0.21582741530161878,0.25048965424622605,11.9,0.161364
115.4,0.024860000000000004,0.03228,-0.1678657674568146,0.24895376450447088,11.9,0.29583400000000004
115.42,0.029380000000000003,0.02152,-0.11990411961201045,0.24895376450447088,11.9,0.34962200000000004
115.44,0.025990000000000003,0.02152,-0.047961647844804174,0.24895376450447088,11.9,0.30928100000000003
115.46000000000001,0.01582,0.00807,-0.023980823922402087,0.25048965424622605,11.9,0.188258
115.48,-0.00113,0.0,0.0,0.24895376450447088,11.9,-0.013446999999999999
115.5,-0.021470000000000003,0.00269,0.0,0.24895376450447088,11.9,-0.255493
115.52,-0.04407,0.0,0.0,0.2458819850209611,11.9,-0.524433
115.54,-0.06441,-0.00269,-0.047961647844804174,0.2443460952792061,11.9,-0.7664789999999999
115.56,-0.08136000000000002,-0.00269,-0.09592329568960835,0.23820253631218585,11.9,-0.9681840000000003
115.58,-0.09153,0.0,-0.14388494353441253,0.23359486708692107,11.9,-1.089207
115.60000000000001,-0.09379,0.00269,-0.21582741530161878,0.22591541837814583,11.9,-1.116101
115.62,-0.08814,0.01345,-0.263789063146423,0.21977185941112604,11.9,-1.048866
115.64,-0.07571,0.024210000000000002,-0.3117507109912271,0.2120924107023508,11.9,-0.900949
115.66,-0.05876000000000001,0.03228,-0.3357315349136292,0.20594885173533078,11.9,-0.6992440000000001
115.68,-0.03955,0.03497,-0.3357315349136292,0.19980529276831052,11.9,-0.47064500000000004
115.7,-0.01921,0.03228,-0.3117507109912271,0.19519762354304576,11.9,-0.22859900000000002
115.72,-0.0033900000000000002,0.029589999999999998,-0.263789063146423,0.19212584405953576,11.9,-0.040341
115.74000000000001,0.0067800000000000004,0.024210000000000002,-0.21582741530161878,0.1890540645760255,11.9,0.080682
115.76,0.010170000000000002,0.01614,-0.14388494353441253,0.1890540645760255,11.9,0.12102300000000003
115.78,0.0056500000000000005,0.00269,-0.09592329568960835,0.1875181748342705,11.9,0.067235
115.8,-0.0056500000000000005,0.00269,-0.07194247176720626,0.1875181748342705,11.9,-0.067235
115.82000000000001,-0.022600000000000002,0.0,-0.047961647844804174,0.18598228509251574,11.9,-0.26894
115.84,-0.042940000000000006,0.0,-0.023980823922402087,0.1844463953507605,11.9,-0.510986
115.86,-0.06441,-0.00538,-0.047961647844804174,0.18137461586725073,11.9,-0.7664789999999999
115.88,-0.08249000000000001,-0.00807,-0.09592329568960835,0.17676694664198547,11.9,-0.9816310000000001
115.9,-0.09605000000000001,-0.00538,-0.14388494353441253,0.1721592774167207,11.9,-1.1429950000000002
115.92,-0.1017,0.0,-0.1918465913792167,0.16447982870794545,11.9,-1.21023
115.94,-0.10057,0.0,-0.263789063146423,0.15833626974092543,11.9,-1.1967830000000002
115.96000000000001,-0.09153,0.01076,-0.3117507109912271,0.15065682103215042,11.9,-1.089207
115.98,-0.07571,0.02152,-0.3357315349136292,0.14297737232337543,11.9,-0.900949
116.0,-0.0565,0.029589999999999998,-0.3357315349136292,0.13683381335635542,11.9,-0.67235
116.02,-0.03503,0.03228,-0.3357315349136292,0.13222614413109018,11.9,-0.416857
116.04,-0.01582,0.0269,-0.28776988706882506,0.12761847490582537,11.9,-0.188258
116.06,0.0,0.03228,-0.2398082392240209,0.12454669542231514,11.9,0.0
116.08,0.010170000000000002,0.01614,-0.1918465913792167,0.12301080568056015,11.9,0.12102300000000003
116.10000000000001,0.012430000000000002,0.01076,-0.11990411961201045,0.12301080568056015,11.9,0.14791700000000002
116.12,0.0067800000000000004,0.0,-0.07194247176720626,0.12301080568056015,11.9,0.080682
116.14,-0.0056500000000000005,0.0,-0.023980823922402087,0.12301080568056015,11.9,-0.067235
116.16,-0.02373,-0.00538,0.0,0.12147491593880513,11.9,-0.282387
116.18,-0.042940000000000006,-0.00538,0.0,0.12147491593880513,11.9,-0.510986
116.2,-0.06215,-0.00807,-0.023980823922402087,0.11840313645529539,11.9,-0.7395849999999999
116.22,-0.07797000000000001,-0.01076,-0.047961647844804174,0.11533135697178537,11.9,-0.9278430000000002
116.24000000000001,-0.08814,-0.00807,-0.09592329568960835,0.11072368774651989,11.9,-1.048866
116.26,-0.09040000000000001,-0.00538,-0.14388494353441253,0.10458012877950033,11.9,-1.07576
116.28,-0.08474999999999999,0.0,-0.21582741530161878,0.0984365698124801,11.9,-1.008525
116.3,-0.07232,0.00807,-0.263789063146423,0.09382890058721534,11.9,-0.8606079999999999
116.32000000000001,-0.054240000000000003,0.01614,-0.28776988706882506,0.08768534162019485,11.9,-0.645456
116.34,-0.03277,0.029589999999999998,-0.28776988706882506,0.08154178265317484,11.9,-0.389963
116.36,-0.011300000000000001,0.01614,-0.263789063146423,0.07847000316966506,11.9,-0.13447
116.38,0.00904,0.024210000000000002,-0.21582741530161878,0.07693411342791007,11.9,0.10757599999999999
116.4,0.02373,0.01614,-0.1678657674568146,0.07539822368615504,11.9,0.282387
116.42,0.03164,0.01614,-0.09592329568960835,0.07539822368615504,11.9,0.376516
116.44,0.03277,0.01345,-0.023980823922402087,0.07693411342791007,11.9,0.389963
116.46000000000001,0.024860000000000004,0.00269,0.0,0.07693411342791007,11.9,0.29583400000000004
116.48,0.011300000000000001,0.0,0.0,0.07847000316966506,11.9,0.13447
116.5,-0.0056500000000000005,0.0,0.023980823922402087,0.07847000316966506,11.9,-0.067235
116.52,-0.024860000000000004,-0.01345,0.023980823922402087,0.07693411342791007,11.9,-0.29583400000000004
116.54,-0.042940000000000006,-0.01076,0.0,0.07693411342791007,11.9,-0.510986
116.56,-0.05537,-0.00538,0.0,0.07539822368615504,11.9,-0.658903
116.58,-0.06328,-0.00538,-0.047961647844804174,0.07232644420264504,11.9,-0.753032
116.60000000000001,-0.06328,-0.00538,-0.047961647844804174,0.06925466471913502,11.9,-0.753032
116.62,-0.054240000000000003,0.0,-0.11990411961201045,0.06618288523562502,11.9,-0.645456
116.64,-0.03842,0.00269,-0.14388494353441253,0.060039326268604795,11.9,-0.45719800000000005
116.66,-0.01921,0.01614,-0.1918465913792167,0.05696754678509479,11.9,-0.22859900000000002
116.68,0.0033900000000000002,0.03228,-0.1918465913792167,0.05389576730158478,11.9,0.040341
116.7,0.025990000000000003,0.03497,-0.1678657674568146,0.05235987755983,11.9,0.30928100000000003
116.72,0.04407,0.03228,-0.11990411961201045,0.05235987755983,11.9,0.524433
116.74000000000001,0.05763,0.0269,-0.047961647844804174,0.05389576730158478,11.9,0.685797
116.76,0.06328,0.01614,0.0,0.05543165704333977,11.9,0.753032
116.78,0.061020000000000005,0.01614,0.023980823922402087,0.05850343652684978,11.9,0.7261380000000001
116.8,0.051980000000000005,0.01076,0.07194247176720626,0.060039326268604795,11.9,0.6185620000000001
116.82000000000001,0.037290000000000004,0.0,0.09592329568960835,0.0631111057521148,11.9,0.44375100000000006
116.84,0.01808,-0.00538,0.09592329568960835,0.06464699549386982,11.9,0.21515199999999998
116.86,0.0,-0.01076,0.09592329568960835,0.06618288523562502,11.9,0.0
116.88,-0.01695,-0.00538,0.07194247176720626,0.06618288523562502,11.9,-0.201705
116.9,-0.02825,-0.00538,0.023980823922402087,0.06618288523562502,11.9,-0.336175
116.92,-0.03277,0.0,0.0,0.0631111057521148,11.9,-0.389963
116.94,-0.030510000000000002,0.0,-0.023980823922402087,0.061575216010359785,11.9,-0.36306900000000003
116.96000000000001,-0.01921,0.00538,-0.07194247176720626,0.05850343652684978,11.9,-0.22859900000000002
116.98,-0.0033900000000000002,0.00538,-0.09592329568960835,0.05696754678509479,11.9,-0.040341
117.0,0.01808,0.01614,-0.09592329568960835,0.05543165704333977,11.9,0.21515199999999998
117.02,0.04068000000000001,0.0269,-0.07194247176720626,0.05543165704333977,11.9,0.48409200000000013
117.04,0.061020000000000005,0.04304,-0.047961647844804174,0.05543165704333977,11.9,0.7261380000000001
117.06,0.07797000000000001,0.03497,0.0,0.05850343652684978,11.9,0.9278430000000002
117.08,0.08814,0.03497,0.047961647844804174,0.061575216010359785,11.9,1.048866
117.10000000000001,0.09040000000000001,0.03497,0.09592329568960835,0.06618288523562502,11.9,1.07576
117.12,0.08474999999999999,0.02152,0.11990411961201045,0.06925466471913502,11.9,1.008525
117.14,0.07345,0.00538,0.1678657674568146,0.0738623339443998,11.9,0.874055
117.16,0.0565,0.0,0.1918465913792167,0.07847000316966506,11.9,0.67235
117.18,0.03616,-0.00538,0.1918465913792167,0.08000589291142006,11.9,0.43030399999999996
117.2,0.01695,-0.01076,0.1678657674568146,0.08307767239493008,11.9,0.201705
117.22,0.00113,-0.00807,0.14388494353441253,0.08461356213668482,11.9,0.013446999999999999
117.24000000000001,-0.00904,-0.00538,0.09592329568960835,0.08461356213668482,11.9,-0.10757599999999999
