t,DXL_PWM,DXL_Current,DXL_Velocity,DXL_Position,DXL_Input_Voltage,U,position_reference
9.200000000000001,-0.01582,-0.029589999999999998,0.0,-0.5801474433629151,11.9,-0.188258,-0.5628852836680094
9.28,0.06441,-0.03497,0.07194247176720626,-0.5724679946541401,11.9,0.7664789999999999,-0.5241922880910797
9.36,0.08814,-0.00807,0.2398082392240209,-0.55096553826957,11.9,1.048866,-0.48020601659193884
9.44,0.05763,0.00538,0.4076740066808355,-0.5141041844674497,11.9,0.685797,-0.43137064104629674
9.52,0.03955,-0.040350000000000004,0.5995205980600522,-0.46341982298953455,11.9,0.47064500000000004,-0.3781792994178378
9.6,0.02373,0.01345,0.6714630698272585,-0.408127792286354,11.9,0.282387,-0.32116911606781084
9.68,0.02373,0.01345,0.6474822459048563,-0.35744343080843866,11.9,0.282387,-0.26091577789146847
9.76,0.05085,0.01076,0.527578126292846,-0.31751029752280857,11.9,0.605115,-0.1980277210513574
9.84,0.17289000000000002,0.00807,0.3836931827584334,-0.2852566129459533,11.9,2.0573910000000004,-0.13313998700960494
9.92,0.45087000000000005,0.061869999999999994,0.6714630698272585,-0.22382102327575293,11.9,5.365353000000001,-0.06690780990081081
10.0,0.64071,0.059179999999999996,1.5107919071113316,-0.09480628496833199,11.9,7.624449,-3.265724797726275e-16
10.08,0.8023,0.061869999999999994,2.134293329093786,0.08028514559173927,11.9,9.54737,0.06690780990081016
10.16,0.81247,0.06456,2.422063216162611,0.27534314279462535,11.9,9.668393,0.1331399870096043
10.24,0.7198100000000001,0.06994,2.3501207443954044,0.45964991180522663,11.9,8.565739,0.1980277210513568
10.32,0.5186700000000001,0.08070000000000001,1.9664275616369709,0.6101671064972174,11.9,6.172173000000001,0.26091577789146786
10.4,0.34917000000000004,0.09415,1.2230220200425064,0.702320491002518,11.9,4.155123000000001,0.3211691160678103
10.48,0.08927,0.10222,0.551558950215248,0.7391818448046386,11.9,1.062313,0.37817929941783723
10.56,0.11187000000000001,0.11298,0.0,0.7391818448046386,11.9,1.3312530000000002,0.4313706410462963
10.64,0.08023,0.11298,0.0,0.7391818448046386,11.9,0.954737,0.4802060165919384
10.72,0.11639000000000001,0.12643,0.0,0.7391818448046386,11.9,1.3850410000000002,0.5241922880910792
10.8,0.10622,0.14257,0.0,0.7391818448046386,11.9,1.264018,0.5628852836680103
10.88,0.11978,0.14257,0.0,0.7391818448046386,11.9,1.425382,0.5958942827675091
10.96,0.11639000000000001,0.14257,0.0,0.7391818448046386,11.9,1.3850410000000002,0.6228859616377416
11.040000000000001,0.10282999999999999,0.14257,0.0,0.7391818448046386,11.9,1.223677,0.6435877592221826
11.120000000000001,0.10509,0.14526,0.0,0.7391818448046386,11.9,1.250571,0.657790629471912
11.200000000000001,0.1356,0.15871000000000002,0.0,0.7391818448046386,11.9,1.61364,0.6653511522855144
11.28,0.12656,0.16947,0.0,0.7391818448046386,11.9,1.506064,0.6661929817603929
11.36,0.13673,0.13988,0.0,0.7391818448046386,11.9,1.627087,0.660307617131101
11.44,0.08023,0.08070000000000001,0.0,0.7391818448046386,11.9,0.954737,0.6477544886097828
11.52,0.02825,0.03497,0.0,0.7391818448046386,11.9,0.336175,0.6286603572619097
11.6,-0.0056500000000000005,0.029589999999999998,-0.14388494353441253,0.7222870576453331,11.9,-0.067235,0.6032180349773466
11.68,-0.06554,0.0,-0.43165483060323756,0.685425703843213,11.9,-0.779926,0.5716844374624349
11.76,-0.35256,0.03497,-0.7194247176720626,0.6239901141730124,11.9,-4.195464,0.5343779899139183
11.84,-0.38646,0.00269,-0.8872904851288773,0.5502674065687723,11.9,-4.598874,0.49167541157211614
11.92,-0.4294,-0.029589999999999998,-0.9352521329736813,0.47654469896453167,11.9,-5.10986,0.4440079116228351
12.0,-0.11978,-0.02152,-0.815348013361671,0.4105014400690663,11.9,-1.425382,0.391856834861649
12.08,-0.09153,-0.00807,-0.5995205980600522,0.364424747816416,11.9,-1.089207,0.33574880109050703
12.16,-0.18758,-0.00538,-0.43165483060323756,0.33063517349780547,11.9,-2.232202,0.2762503873288565
12.24,-0.33674,-0.01614,-0.839328837284073,0.2569124658935651,11.9,-4.007206,0.21396240653813953
12.32,-0.5085000000000001,-0.02152,-1.2949644918097125,0.14786429422895941,11.9,-6.051150000000001,0.14951384063292128
12.4,-0.6474899999999999,-0.029589999999999998,-1.7745809702577546,0.003490658503988664,11.9,-7.705130999999999,0.08355548904286943
12.48,-0.66896,-0.03497,-1.9904083855593735,-0.15777776438028757,11.9,-7.960624,0.016753396962225532
