t,DXL_PWM,DXL_Current,DXL_Velocity,DXL_Position,DXL_Input_Voltage,U,position_reference,velocity_from_meas,velocity_from_ref,acc_from_velocity_from_meas,acc_from_meas,acc_from_ref,torque_hip_from_ref,position_from_julia_hip
9.6,0.2938,0.0,0.5995205980600522,-0.3758741077094987,11.9,3.49622,-0.32116911606781084,0.6623524511318473,0.7328970095398075,0.659952623410335,0.7494007475750646,0.5054636733581077,-0.2101229802322097,-0.3214551897239439
9.68,0.31753,0.0,0.6714630698272585,-0.3205820770063186,11.9,3.778607,-0.26091577789146847,0.7199483164476586,0.7696337188528335,0.6599526234103612,0.7494007475750646,0.4106355216989934,-0.1717549393407816,-0.26093521994459973
9.76,0.33335000000000004,0.00538,0.7194247176720626,-0.26068237707787323,11.9,3.9668650000000008,-0.1980277210513574,0.7679448708775052,0.7985986930116464,0.29997846518654114,0.44964044854503893,0.3116607864880123,-0.13101653721900378,-0.19783124868811144
9.84,0.34917000000000004,0.01345,0.7434055415944647,-0.19771089766591765,11.9,4.155123000000001,-0.13313998700960494,0.7679448708775052,0.8194994446909154,-7.993605777301127e-15,0.14988014951501327,0.20953891123988555,-0.0884172538387744,-0.13283298510976363
9.92,0.38081000000000004,0.08339,0.7434055415944647,-0.1378111977374723,11.9,4.531639,-0.06690780990081081,0.7679448708775038,0.8321249188100281,0.2399827721492187,0.14988014951501238,0.10530111918259344,-0.044535677804621816,-0.06666643214595648
10.0,0.40454,0.05649,0.7673863655168668,-0.07483971832551695,11.9,4.814026,-3.265724797726275e-16,0.8063421144213802,0.8363476237601304,0.2999784651865314,0.5995205980600513,0.0,-2.1754515234109572e-16,-2.690583004139502e-6
10.08,0.39663000000000004,0.061869999999999994,0.839328837284073,-0.008796459430051362,11.9,4.7198970000000005,0.06690780990081016,0.8159414253073489,0.8321249188100281,0.059995693037304676,0.14988014951501416,-0.10530111918259077,0.04453567780462057,0.06653803838954452
10.16,0.42036,0.06725,0.791367189439269,0.055710909723659,11.9,5.002284,0.1331399870096043,0.8159414253073489,0.8194994446909158,-0.05999569303731267,-0.29976029903002477,-0.20953891123988466,0.08841725383877398,0.13236573078282424
10.24,0.41245000000000004,0.07263,0.791367189439269,0.12175416861912458,11.8,4.866910000000001,0.1980277210513568,0.8063421144213789,0.7985986930116467,-0.2399827721492267,-0.14988014951501416,-0.3116607864880132,0.13101653721900258,0.1969064543679417
10.32,0.41245000000000004,0.07801000000000001,0.7673863655168668,0.18472564803107971,11.9,4.908155000000001,0.26091577789146786,0.7775441817634726,0.7696337188528337,-0.35997415822382983,-0.4496404485450398,-0.41063552169899253,0.17175493934078118,0.2595862388585267
10.4,0.40454,0.10222,0.7194247176720626,0.2461612377012803,11.9,4.814026,0.3211691160678103,0.7487462491055661,0.7328970095398077,-0.47996554429844895,-0.44964044854503893,-0.5054636733581042,0.21012298023220938,0.31981896282134975
10.48,0.40454,0.10222,0.6954438937496605,0.3045250478879704,11.9,4.814026,0.37817929941783723,0.7007496946757208,0.688759531115537,-0.5399612373357341,-0.29976029903002566,-0.595187670010473,0.24569411444238778,0.3770028058430485
10.56,0.39663000000000004,0.11835999999999999,0.6714630698272585,0.35828118884939575,11.8,4.6802340000000004,0.4313706410462963,0.6623524511318486,0.637666982338132,-0.47996554429843385,-0.29976029903002566,-0.6789014817852763,0.2781319992161038,0.4305270374724415
10.64,0.3729,0.11298,0.6474822459048563,0.4105014400690663,11.9,4.4375100000000005,0.4802060165919384,0.6239552075879713,0.5801352940298927,-0.5999569303730627,-0.5995205980600518,-0.755759769454269,0.30719100861736603,0.47978791462803483
10.72,0.34917000000000004,0.12912,0.5755397741376501,0.4581140220634712,11.9,4.155123000000001,0.5241922880910792,0.5663593422721585,0.5167454192254488,-0.7199483164476348,-0.899280897090077,-0.8249864206387896,0.33271045386599274,0.5242102157365547
10.8,0.34917000000000004,0.14257,0.5035973023704439,0.5011189348326117,11.8,4.1202060000000005,0.5628852836680103,0.5087634769563496,0.4481374667276863,-0.7799440094849532,-0.7494007475750646,-0.8858823869664296,0.3546035280758851,0.5632700055314429
10.88,0.30962,0.13988,0.45563565452563964,0.5395161783764872,11.9,3.6844780000000004,0.5958942827675091,0.4415683007545659,0.37500423731082,-0.8399397025222988,-0.5995205980600522,-0.9378327430373581,0.37284240139678626,0.5965146005952772
10.96,0.28589000000000003,0.13988,0.4076740066808355,0.5717698629533423,11.9,3.4020910000000004,0.6228859616377416,0.3743731245527817,0.29808422784170885,-0.8999353955595693,-0.8992808970900779,-0.9803128959203395,0.3874411262095617,0.6235769675059607
11.040000000000001,0.24521,0.14257,0.3117507109912271,0.5994158783049324,11.9,2.917999,0.6435877592221826,0.29757863746503466,0.2181541739635655,-1.0799224746714844,-1.04916104660509,-1.0128938824742768,0.39843807336165404,0.6441833462030561
11.120000000000001,0.21356999999999998,0.14795,0.2398082392240209,0.6193824449477479,11.9,2.541483,0.657790629471912,0.20158552860534407,0.1360212066458244,-1.0799224746714982,-0.8992808970900772,-1.0352467010035051,0.40587953111110175,0.6581542572484319
11.200000000000001,0.18193,0.16409,0.1678657674568146,0.6316695628817874,11.9,2.1649670000000003,0.6653511522855144,0.12479104151759479,0.05251470180300455,-0.8999353955595528,-0.8992808970900875,-1.0471456335056912,0.4098058913674835,0.6653999635859519
