time,q1_l,q1_r,q2_l,q2_r,ZMPx,ZMPy,CoMx,CoMy,CoMz
15.019999999999992,-0.23119926696517834,-0.3269971208561452,0.7947341474872347,0.6775578832634963,0.8897027386650391,0.7349661994050392,0.8891392061041741,0.7418984489669371,0.2048575355138482
15.039999999999992,-0.2498589014439708,-0.32482595519251817,0.8178692329967646,0.677747487959467,0.8897027386650391,0.7349661994050392,0.8892984104473511,0.740978780337058,0.2048575355138482
15.059999999999993,-0.2690435583703435,-0.32289032518878336,0.8400667508301612,0.6778911589263195,0.8897027386650391,0.7349661994050392,0.8894501642079369,0.7401730238639157,0.2048575355138482
15.079999999999993,-0.2885179927368209,-0.32115845901496975,0.8609593908704689,0.6779997812647135,0.8897027386650391,0.7349661994050392,0.8895972801105203,0.7394663869871763,0.2048575355138482
15.099999999999993,-0.3080631847135086,-0.31960102039858546,0.8802243765311141,0.6780816326815874,0.8897027386650391,0.7349661994050392,0.8897425132529414,0.7388457371378022,0.2048575355138482
15.119999999999992,-0.3274741164700624,-0.31819084977642714,0.897580981171503,0.6781429829225744,0.8897027386650391,0.7349661994050392,0.88988860857785,0.7382993906312412,0.2048575355138482
15.139999999999993,-0.3465581133440649,-0.31690276146733143,0.9127883788634361,0.6781885481564397,0.8897027386650391,0.7349661994050392,0.8900383447747988,0.7378169568020828,0.2048575355138482
15.159999999999993,-0.3651337328991236,-0.31571332591066226,0.9256439016036373,0.6782218377256208,0.8897027386650391,0.7349661994050392,0.8901945796481019,0.7373892001531329,0.2048575355138482
15.179999999999993,-0.3830301944519461,-0.3146006124712858,0.9359817113324734,0.6782454168742396,0.8897027386650391,0.7349661994050392,0.8903602993341676,0.7370079058354924,0.2048575355138482
15.199999999999992,-0.4000873320973283,-0.313543893395584,0.9436718511834237,0.6782611018960057,0.8897027386650391,0.7349661994050392,0.8905386723962933,0.7366657459653628,0.2048575355138482
15.219999999999994,-0.41615603260681105,-0.31252331864443267,0.9486196145716336,0.6782700999250832,0.8897027386650391,0.7349661994050392,0.8907331093917672,0.7363561491448629,0.2048575355138482
15.239999999999993,-0.4310990940827222,-0.31151957116337675,0.9507651619966091,0.6782731025082251,0.8897027386650391,0.7349661994050392,0.8909473285891253,0.7360731762423699,0.2048575355138482
15.259999999999993,-0.444792418846629,-0.31051350802970873,0.9500833215967408,0.6782703393907678,0.8897027386650391,0.7349661994050392,0.8911854287722109,0.7358114043820436,0.2048575355138482
15.279999999999992,-0.45712643947159876,-0.3094857882988981,0.9465835271772689,0.6782615963620962,0.8897027386650391,0.7349661994050392,0.8914519702384827,0.7355658196417347,0.2048575355138482
15.299999999999992,-0.4680076727080902,-0.30841648510968117,0.9403098725257371,0.6782461984613003,0.8897027386650391,0.7349661994050392,0.8917520649751025,0.7353317178681608,0.2048575355138482
15.319999999999993,-0.4773603029012516,-0.30728467844821217,0.9313412888836085,0.6782229573118121,0.8897027386650391,0.7349661994050392,0.8920914764260797,0.7351046125135918,0.2048575355138482
15.339999999999993,-0.4851277130465129,-0.3060680259062469,0.9197918789427434,0.6781900788119158,0.8897027386650391,0.7349661994050392,0.8924767282022412,0.7348801484396524,0.2048575355138482
15.359999999999992,-0.49127390461621107,-0.30474231101980453,0.9058114613114312,0.6781450248269342,0.8897027386650391,0.7349661994050392,0.8929152197253271,0.7346540210316553,0.2048575355138482
15.379999999999992,-0.4957847714114483,-0.3032809704249292,0.8895863901419861,0.6780843198319947,0.8897027386650391,0.7349661994050392,0.8934153457800942,0.7344219004015057,0.2048575355138482
15.399999999999993,-0.4986692106832703,-0.30165459842721637,0.8713407125968454,0.6780032903826892,0.8897027386650391,0.7349661994050392,0.8939866176193949,0.7341793604357776,0.2048575355138482
15.419999999999993,-0.49996005782397646,-0.29983041462315463,0.8513377106672023,0.677895721093853,0.8897027386650391,0.7349661994050392,0.8946397878494882,0.733921811253621,0.2048575355138482
15.439999999999992,-0.4997148097389137,-0.29777164866227607,0.8298818438047769,0.677753403680671,0.8897027386650391,0.7349661994050392,0.8953869927700386,0.7336444303750457,0.2048575355138482
15.459999999999992,-0.4980160484943351,-0.2954367373319637,0.8073210650724916,0.6775655419000999,0.8897027386650391,0.7349661994050392,0.8962419469924267,0.7333420817154647,0.2048575355138482
15.479999999999993,-0.4949713864932457,-0.2927781383591025,0.7840494203336829,0.6773179486202711,0.8897027386650391,0.7349661994050392,0.8972202567013048,0.733009202216642,0.2048575355138482
15.499999999999993,-0.4907126286590505,-0.2897404515351753,0.7605097327298841,0.676991922839216,0.8897027386650391,0.7349661994050392,0.8983399547723104,0.7326396250185695,0.2048575355138482
15.519999999999992,-0.4853936947029214,-0.2862574375476716,0.7371959579908137,0.676562615316479,0.8897027386650391,0.7349661994050392,0.8996223870452693,0.7322263003608305,0.2048575355138482
15.539999999999992,-0.4791866826278395,-0.2822475203673883,0.7146543388639985,0.6759965803122395,0.8897027386650391,0.7349661994050392,0.9010935616289562,0.7317608806282526,0.2048575355138482
15.559999999999993,-0.4722753138139943,-0.277607593327517,0.6934815880841658,0.6752480907116416,0.8897027386650391,0.7349661994050392,0.9027859595879045,0.73123316978163,0.2048575355138482
