time,acc_sim,pos_sim,vel_sim,input_V,input_tau,tau_grav,tau_f
15.953850604767629,-1.4274075176518688,-0.31904278010014003,0.23096189480564022,0.4457988211913948,0.17588735007265624,0.4053660486685375,-0.02649826286063367
15.963850604767629,-1.3333637154684261,-0.31680240711469076,0.21718820922746407,0.39873432119139735,0.15731832343106253,0.3852397211477315,-0.02475244230143575
15.973850604767629,-1.291129389059729,-0.3146962450575997,0.20407828715363874,0.35166982119139734,0.1387492967894678,0.36520564130256894,-0.023968408121231577
15.983850604767628,-1.2703976659955973,-0.31271955869116996,0.19127587926240283,0.3046053211913974,0.12018027014787311,0.3452607112405155,-0.023583546306708614
15.993850604767628,-1.2585949647772174,-0.3108700625356463,0.17863310560799964,0.2575408211913974,0.10161124350627838,0.32540351741523915,-0.023364442038668443
16.003850604767628,-1.0304098357387994,-0.3091464882695313,0.16608853231682685,0.22083213765345602,0.08712804443704568,0.30971916609241157,-0.019128434132464955
16.01385060476763,-0.7612445020381486,-0.30753101727781507,0.15722100713349427,0.20066163765345243,0.07916989016207511,0.30063459590811403,-0.014131673447679516
16.02385060476763,-0.8682120841389567,-0.3059943058623335,0.15021186502028736,0.17013532119138064,0.06712590831473873,0.28751857823697785,-0.01611740987755092
16.033850604767633,-1.0824527613941983,-0.30454047251528815,0.14038383503282847,0.12307082119137228,0.04855688167314072,0.26793485376279935,-0.0200945542537333
16.043850604767634,-1.1681735005719367,-0.3031927136407823,0.12909972102036796,0.07600632119136391,0.029987855031542703,0.24842474937286022,-0.02168586623104174
16.053850604767636,-1.2005808533463156,-0.3019608715276333,0.11724310579004046,0.02894182119135555,0.011418828389944687,0.22899523719935594,-0.02228747336972728
16.063850604767637,-0.8257118938978799,-0.300848713947519,0.10518049011090133,0.0,0.0,0.21679924354499008,-0.015328440225431117
16.07385060476764,-0.36725588595622627,-0.29982778642429336,0.09937155933197984,0.0,0.0,0.21608559289918317,-0.006817704742925729
16.08385060476764,-0.17693763748804953,-0.2988481130525662,0.09671528410970193,0.0,0.0,0.2154005680403612,-0.0032846541510518634
16.093850604767642,-0.0978718409157328,-0.2978880123309844,0.09536808311772153,0.0,0.0,0.21472902853954876,-0.001816883920791934
16.103850604767644,-0.06496582383204273,-0.2969384783135126,0.09456503858348977,0.0,0.0,0.2140646852051349,-0.0012060196233875664
16.113850604767645,-0.05121219367744373,-0.29599576426444074,0.09398877710083968,0.0,0.0,0.21340492254404053,-0.0009506984886607228
16.123850604767647,-0.26550060210209675,-0.2950583055679365,0.09350761456809821,-0.010355816462106428,-0.004085827572380869,0.20866282221951327,-0.004928728941915039
16.128616560839085,-0.41486374540999266,-0.2946164041108381,0.09187423500517185,-0.023173378720631858,-0.009142922730278173,0.20329630681308603,-0.007701492700070062
16.13562067988958,-0.5484805486560752,-0.29398453464465535,0.08847741256254087,-0.04201025649503598,-0.016574904058824603,0.1954218172182232,-0.010181942838679875
16.142624798940076,-0.6204249397525397,-0.29337906468066544,0.08437120952835496,-0.06084713426944009,-0.024006885387371033,0.18756573620255768,-0.011517511947744419
16.15075799434826,-0.6630553042506109,-0.29271401040932504,0.07914152138076094,-0.08272055000021246,-0.03263691522827849,0.1784697816384612,-0.012308898142888464
16.15932230875163,-0.683496439526924,-0.2920608739592564,0.07336955775815339,-0.1057534171566333,-0.041724399932458724,0.16892463073803266,-0.012688365512243893
16.16854074526386,-0.3480836571783572,-0.29140919079859434,0.06870799827425604,-0.10757599999999999,-0.042443489466502206,0.16774880379700732,-0.0064617932379787
16.178540745263863,-0.16116204393985797,-0.29073527146742206,0.06622531867479475,-0.10757599999999999,-0.042443489466502206,0.16727638810508694,-0.0029917974724558566
16.188540745263865,-0.34573323648654775,-0.2900828683582154,0.06381473995882152,-0.12480311023447893,-0.04924034630980721,0.16002210764814195,-0.00641816024280778
16.198540745263866,-0.4529827146517998,-0.2894644471959626,0.05978388316604175,-0.14497361023448252,-0.057198500584777795,0.15163027350861205,-0.008409129765487397
16.208540745263868,-0.23391538561195815,-0.2888866872010395,0.05623640168574136,-0.14791700000000002,-0.05835979801644055,0.1500637384819401,-0.004342383866163632
16.21854074526387,-0.11091960752588562,-0.2883332267228135,0.054554034906282314,-0.14791700000000002,-0.05835979801644055,0.14967547918331675,-0.0020591014691125342
16.22854074526387,0.20237064581900002,-0.287788518429609,0.05493111056240843,-0.1306898897655098,-0.05156294117313109,0.15609015427085102,0.003756790196123877
16.236221496899926,0.3361319551570072,-0.2873588783747254,0.05702677069975901,-0.11519742967800686,-0.045450480526387046,0.16190112461402978,0.006239922932633327
16.245065881302086,0.21113864789137837,-0.28684055937136044,0.06015252078562379,-0.10757599999999999,-0.042443489466502206,0.16454434596523174,0.003919558586232025
16.255065881302087,0.07135970912848366,-0.2862316509015094,0.06151742678606143,-0.10757599999999999,-0.042443489466502206,0.16411692719265356,0.0013247151263820756
16.26506588130209,0.013432223601144846,-0.28561422401388703,0.061921644529142,-0.10757599999999999,-0.042443489466502206,0.16368345077989516,0.00024935457280725326
16.27506588130209,-0.010534064983246048,-0.2849948802887816,0.061927946226740964,-0.10757599999999999,-0.042443489466502206,0.1632485496695291,-0.00019555342077519355
16.285065881302092,-0.020409565025146844,-0.28437635195207256,0.06176983240771887,-0.10757599999999999,-0.042443489466502206,0.16281414237714592,-0.00037888130209458304
16.295065881302094,-0.02443882335400502,-0.2837597657984971,0.06154418364448955,-0.10757599999999999,-0.042443489466502206,0.16238102096897336,-0.0004536800859114981
16.305065881302095,-0.24127781507795693,-0.2831456486597206,0.06126861627002358,-0.11779413588038995,-0.046474995960577276,0.1579180500250443,-0.004479059334710864
16.308841331413326,-0.32071235963198097,-0.2829162951384793,0.06020366666443507,-0.1254094075272487,-0.049479557404839954,0.1547523303404407,-0.00595367496884304
16.3159938479463,-0.4163322668799979,-0.2824949764568087,0.05755053925989079,-0.13983639100008105,-0.0551716404072063,0.14876417428837657,-0.007728754198589205
16.32314636447927,-0.512030990768583,-0.2820945712900431,0.05438196283294511,-0.15637883263055125,-0.06169836520728335,0.14195603943110086,-0.009505296573256314
16.331200840443163,-0.6025696276546858,-0.2816744765941541,0.04987239986844546,-0.17804054028784247,-0.07024486685057452,0.1331142545708435,-0.011186047563833998
16.3395201853392,-0.6472964805768909,-0.281281119260657,0.044662108071511636,-0.20041458645124552,-0.0790724175371536,0.12401018173757852,-0.012016352778711353
