t,DXL_PWM,DXL_Current,DXL_Velocity,DXL_Position,DXL_Input_Voltage,U
16.5,0.13899,0.08608,0.1678657674568146,0.35520940936588574,11.9,1.6539810000000001
16.52,0.14012,0.09684000000000001,0.1678657674568146,0.35828118884939575,11.9,1.667428
16.54,0.14238,0.09684000000000001,0.1678657674568146,0.36288885807466076,11.9,1.694322
16.56,0.14464,0.09684000000000001,0.1678657674568146,0.36596063755817076,11.9,1.7212159999999999
16.580000000000002,0.14577,0.09953000000000001,0.1678657674568146,0.370568306783436,11.9,1.7346630000000003
16.6,0.14803,0.09684000000000001,0.1678657674568146,0.373640086266946,11.9,1.761557
16.62,0.14916000000000001,0.09953000000000001,0.1678657674568146,0.378247755492211,11.9,1.7750040000000002
16.64,0.15142,0.09415,0.1678657674568146,0.381319534975721,11.9,1.801898
16.66,0.15255000000000002,0.09415,0.1918465913792167,0.38592720420098625,11.9,1.8153450000000002
16.68,0.15481,0.09146,0.1918465913792167,0.39053487342625104,11.9,1.8422390000000002
16.7,0.15594000000000002,0.09415,0.1918465913792167,0.3951425426515158,11.9,1.8556860000000004
16.72,0.15707000000000002,0.08877,0.21582741530161878,0.3997502118767813,11.9,1.8691330000000002
16.740000000000002,0.1582,0.09146,0.21582741530161878,0.40435788110204607,11.9,1.8825800000000001
16.76,0.16046,0.09146,0.21582741530161878,0.4089655503273113,11.9,1.909474
16.78,0.16158999999999998,0.09146,0.21582741530161878,0.4151091092943313,11.9,1.9229209999999999
16.8,0.16272000000000003,0.09684000000000001,0.21582741530161878,0.4197167785195961,11.9,1.9363680000000005
16.82,0.16385000000000002,0.09415,0.21582741530161878,0.42432444774486155,11.9,1.9498150000000003
16.84,0.16385000000000002,0.09415,0.2398082392240209,0.42893211697012634,11.9,1.9498150000000003
16.86,0.16498000000000002,0.09684000000000001,0.2398082392240209,0.43353978619539113,11.9,1.9632620000000003
16.88,0.16611,0.09415,0.2398082392240209,0.4381474554206566,11.9,1.976709
16.9,0.16611,0.10222,0.2398082392240209,0.44429101438767615,11.9,1.976709
16.92,0.16724,0.10491,0.2398082392240209,0.44889868361294116,11.9,1.990156
16.94,0.16724,0.10491,0.2398082392240209,0.4535063528382066,11.9,1.990156
16.96,0.16724,0.11028999999999999,0.2398082392240209,0.4581140220634712,11.9,1.990156
16.98,0.16837,0.1076,0.21582741530161878,0.46272169128873664,11.9,2.003603
17.0,0.16837,0.1076,0.21582741530161878,0.46732936051400165,11.9,2.003603
17.02,0.16837,0.1076,0.21582741530161878,0.47193702973926666,11.9,2.003603
17.04,0.16724,0.11028999999999999,0.21582741530161878,0.47654469896453167,11.9,1.990156
17.06,0.16724,0.11028999999999999,0.21582741530161878,0.4811523681897967,11.9,1.990156
17.080000000000002,0.16724,0.11567,0.21582741530161878,0.4857600374150617,11.9,1.990156
17.1,0.16611,0.11567,0.21582741530161878,0.4903677066403267,11.9,1.976709
17.12,0.16498000000000002,0.11835999999999999,0.21582741530161878,0.4934394861238367,11.9,1.9632620000000003
17.14,0.16385000000000002,0.11835999999999999,0.1918465913792167,0.4980471553491017,11.9,1.9498150000000003
17.16,0.16272000000000003,0.12373999999999999,0.1918465913792167,0.5026548245743667,11.9,1.9363680000000005
17.18,0.16158999999999998,0.12104999999999999,0.1918465913792167,0.5057266040578767,11.9,1.9229209999999999
17.2,0.16046,0.12104999999999999,0.1918465913792167,0.5103342732831417,11.9,1.909474
17.22,0.15933,0.11567,0.1918465913792167,0.5149419425084067,11.9,1.8960270000000001
17.240000000000002,0.15933,0.11567,0.1918465913792167,0.5180137219919168,11.9,1.8960270000000001
17.26,0.15594000000000002,0.12104999999999999,0.1678657674568146,0.5210855014754268,11.9,1.8556860000000004
17.28,0.15368,0.11835999999999999,0.1678657674568146,0.5241572809589368,11.9,1.8287920000000002
17.3,0.15142,0.12373999999999999,0.1678657674568146,0.5272290604424472,11.9,1.801898
17.32,0.14916000000000001,0.12373999999999999,0.14388494353441253,0.5287649501842018,11.9,1.7750040000000002
17.34,0.1469,0.12912,0.14388494353441253,0.5318367296677118,11.9,1.74811
17.36,0.14351,0.1345,0.11990411961201045,0.5349085091512218,11.9,1.707769
17.38,0.14125,0.12912,0.11990411961201045,0.5364443988929768,11.9,1.680875
17.400000000000002,0.13785999999999998,0.12912,0.09592329568960835,0.5379802886347318,11.9,1.640534
17.42,0.1356,0.12912,0.09592329568960835,0.5395161783764872,11.9,1.61364
17.44,0.13221,0.12912,0.07194247176720626,0.5410520681182422,11.9,1.573299
17.46,0.12882,0.12104999999999999,0.07194247176720626,0.5425879578599972,11.9,1.5329579999999998
17.48,0.12543,0.12104999999999999,0.07194247176720626,0.5441238476017518,11.9,1.4926170000000003
17.5,0.12204000000000001,0.12373999999999999,0.07194247176720626,0.5441238476017518,11.9,1.4522760000000001
17.52,0.11752000000000001,0.13719,0.07194247176720626,0.5456597373435073,11.9,1.3984880000000002
17.54,0.11413000000000001,0.12373999999999999,0.047961647844804174,0.5456597373435073,11.9,1.3581470000000002
17.56,0.10961,0.13181,0.023980823922402087,0.5456597373435073,11.9,1.304359
17.580000000000002,0.10622,0.12912,0.0,0.5456597373435073,11.9,1.264018
17.6,0.1017,0.12104999999999999,0.0,0.5456597373435073,11.9,1.21023
17.62,0.09718,0.11567,0.0,0.5471956270852618,11.9,1.156442
17.64,0.09266,0.1076,0.0,0.5456597373435073,11.9,1.102654
17.66,0.08814,0.10222,0.0,0.5456597373435073,11.9,1.048866
17.68,0.08362,0.09684000000000001,0.0,0.5456597373435073,11.9,0.995078
17.7,0.07797000000000001,0.09146,0.0,0.5456597373435073,11.9,0.9278430000000002
17.72,0.07345,0.08339,0.0,0.5456597373435073,11.9,0.874055
17.740000000000002,0.06892999999999999,0.07801000000000001,0.0,0.5456597373435073,11.9,0.820267
17.76,0.06328,0.08070000000000001,0.0,0.5456597373435073,11.9,0.753032
17.78,0.05876000000000001,0.07263,0.0,0.5456597373435073,11.9,0.6992440000000001
17.8,0.05311,0.06725,0.0,0.5456597373435073,11.9,0.632009
17.82,0.04746,0.0538,0.0,0.5456597373435073,11.9,0.564774
17.84,0.042940000000000006,0.04573,0.0,0.5456597373435073,11.9,0.510986
17.86,0.037290000000000004,0.03497,0.0,0.5456597373435073,11.9,0.44375100000000006
17.88,0.03164,0.03228,0.0,0.5456597373435073,11.9,0.376516
17.900000000000002,0.025990000000000003,0.03228,0.0,0.5456597373435073,11.9,0.30928100000000003
17.92,0.020340000000000004,0.03228,0.0,0.5456597373435073,11.9,0.24204600000000007
17.94,0.014690000000000002,0.03228,0.0,0.5441238476017518,11.9,0.17481100000000002
17.96,0.010170000000000002,0.03228,-0.023980823922402087,0.5425879578599972,11.9,0.12102300000000003
17.98,0.00452,0.03497,-0.047961647844804174,0.5425879578599972,11.9,0.053787999999999996
18.0,-0.00113,0.029589999999999998,-0.07194247176720626,0.5395161783764872,11.9,-0.013446999999999999
18.02,-0.0067800000000000004,0.03228,-0.09592329568960835,0.5364443988929768,11.9,-0.080682
18.04,-0.012430000000000002,0.02152,-0.11990411961201045,0.5333726194094668,11.9,-0.14791700000000002
18.06,-0.01808,0.0269,-0.14388494353441253,0.5287649501842018,11.9,-0.21515199999999998
18.080000000000002,-0.02373,0.03497,-0.1678657674568146,0.5241572809589368,11.9,-0.282387
18.1,-0.029380000000000003,0.03497,-0.1918465913792167,0.5210855014754268,11.9,-0.34962200000000004
18.12,-0.0339,0.040350000000000004,-0.1918465913792167,0.5149419425084067,11.9,-0.40341
18.14,-0.03955,0.040350000000000004,-0.21582741530161878,0.5103342732831417,11.9,-0.47064500000000004
18.16,-0.045200000000000004,0.040350000000000004,-0.2398082392240209,0.5041907143161217,11.9,-0.53788
18.18,-0.05085,0.04304,-0.263789063146423,0.4980471553491017,11.9,-0.605115
18.2,-0.05537,0.040350000000000004,-0.263789063146423,0.4919035963820817,11.9,-0.658903
18.22,-0.061020000000000005,0.03497,-0.28776988706882506,0.4857600374150617,11.9,-0.7261380000000001
18.240000000000002,-0.06554,0.040350000000000004,-0.28776988706882506,0.47808058870628667,11.9,-0.779926
18.26,-0.07119,0.03497,-0.3117507109912271,0.47193702973926666,11.9,-0.847161
18.28,-0.07571,0.03497,-0.3357315349136292,0.46425758103049164,11.9,-0.900949
18.3,-0.08136000000000002,0.03497,-0.3357315349136292,0.4565781323217166,11.9,-0.9681840000000003
18.32,-0.08588000000000001,0.03228,-0.3597123588360313,0.44736279387118616,11.9,-1.021972
18.34,-0.09040000000000001,0.029589999999999998,-0.3836931827584334,0.44121923490416615,11.9,-1.07576
18.36,-0.09492,0.03228,-0.3836931827584334,0.4320038964536361,11.9,-1.129548
18.38,-0.09944000000000001,0.03497,-0.3836931827584334,0.42432444774486155,11.9,-1.1833360000000002
18.400000000000002,-0.10396000000000001,0.03497,-0.4076740066808355,0.4151091092943313,11.9,-1.2371240000000001
18.42,-0.10735,0.029589999999999998,-0.43165483060323756,0.4058937708438013,11.9,-1.277465
18.44,-0.11187000000000001,0.0269,-0.43165483060323756,0.3951425426515158,11.9,-1.3312530000000002
18.46,-0.11639000000000001,0.0269,-0.45563565452563964,0.38592720420098625,11.9,-1.3850410000000002
18.48,-0.11978,0.029589999999999998,-0.45563565452563964,0.375175976008701,11.9,-1.425382
18.5,-0.12317,0.029589999999999998,-0.4796164784480418,0.364424747816416,11.9,-1.465723
18.52,-0.12656,0.029589999999999998,-0.4796164784480418,0.35367351962413074,11.9,-1.506064
18.54,-0.12995,0.0269,-0.5035973023704439,0.3444581811736005,11.9,-1.5464050000000003
18.56,-0.13334,0.0269,-0.5035973023704439,0.3337069529813157,11.9,-1.586746
18.580000000000002,-0.13673,0.0269,-0.527578126292846,0.3229557247890307,11.9,-1.627087
18.6,-0.14012,0.024210000000000002,-0.527578126292846,0.31220449659674565,11.9,-1.667428
18.62,-0.14238,0.024210000000000002,-0.527578126292846,0.3014532684044604,11.9,-1.694322
18.64,-0.14577,0.02152,-0.527578126292846,0.2907020402121754,11.9,-1.7346630000000003
18.66,-0.14803,0.01614,-0.551558950215248,0.27841492227813536,11.9,-1.761557
18.68,-0.15029,0.01614,-0.551558950215248,0.26766369408585033,11.9,-1.7884510000000002
18.7,-0.15255000000000002,0.01614,-0.551558950215248,0.2569124658935651,11.9,-1.8153450000000002
18.72,-0.15481,0.01345,-0.551558950215248,0.2461612377012803,11.9,-1.8422390000000002
18.740000000000002,-0.15594000000000002,0.01345,-0.551558950215248,0.23387411976724004,11.9,-1.8556860000000004
18.76,-0.1582,0.01076,-0.5755397741376501,0.22312289157495502,11.9,-1.8825800000000001
18.78,-0.15933,0.01076,-0.5755397741376501,0.210835773640915,11.9,-1.8960270000000001
18.8,-0.16158999999999998,0.01076,-0.5755397741376501,0.19854865570687474,11.9,-1.9229209999999999
18.82,-0.16272000000000003,0.00807,-0.5755397741376501,0.18779742751458972,11.9,-1.9363680000000005
18.84,-0.16385000000000002,0.00807,-0.5755397741376501,0.1755103095805497,11.9,-1.9498150000000003
18.86,-0.16385000000000002,0.00807,-0.5755397741376501,0.16399113651738695,11.9,-1.9498150000000003
18.88,-0.16611,0.00538,-0.5755397741376501,0.15247196345422442,11.9,-1.976709
18.900000000000002,-0.16611,0.00269,-0.5755397741376501,0.1401848455201844,11.9,-1.976709
18.92,-0.16724,0.00269,-0.5755397741376501,0.12789772758614415,11.9,-1.990156
18.94,-0.16724,0.00269,-0.5755397741376501,0.11714649939385935,11.9,-1.990156
